model_key,config,figures,display_name,label,color,Architecture,Hidden Layers,Algorithm,W Learning Rule,B Learning Rule,Bias
vanBP,20231129_EIANN_2_hidden_mnist_van_bp_relu_SGD_config_G_complete_optimized.yaml,2,Feedforward ANN,Backprop (ANN),black,ANN,2,Backprop,Gradient descent,Symmetric ($B=W^T$),Zero
vanBP_0hidden,20250103_EIANN_0_hidden_mnist_van_bp_relu_SGD_config_G_complete_optimized.yaml, ,Feedforward ANN \n(no hidden),Vanilla Backprop,black,ANN,0,Backprop,Gradient descent,Symmetric ($B=W^T$),Zero
vanBP_fixed_hidden,20250108_EIANN_2_hidden_mnist_van_bp_relu_SGD_config_G_fixed_hidden_complete_optimized.yaml, ,Feedforward ANN \n(fixed hidden),Vanilla Backprop fixed hidden,black,ANN,2,Backprop,Gradient descent,Symmetric ($B=W^T$),Zero
bpDale_learned,20240419_EIANN_2_hidden_mnist_bpDale_relu_SGD_config_F_complete_optimized.yaml,"2, S1-3",Backprop \n(learned SomaI),Backprop (EIANN),royalblue,EIANN,2,Backprop,Gradient descent,Symmetric ($B=W^T$),Zero
bpDale_fixed,20231129_EIANN_2_hidden_mnist_bpDale_relu_SGD_config_G_complete_optimized.yaml,"4, S2-3",Backprop \n(fixed SomaI),Backprop (EIANN),cornflowerblue,EIANN,2,Backprop,Gradient descent,Symmetric ($B=W^T$),Zero
bpDale_noI,20240919_EIANN_2_hidden_mnist_bpDale_noI_relu_SGD_config_G_complete_optimized.yaml, ,Backprop \n(no SomaI),"Backprop (EIANN, no SomaI)",royalblue,EIANN,2,Backprop,Gradient descent,Symmetric ($B=W^T$),Zero
bpLike_WT_hebbdend,20241009_EIANN_2_hidden_mnist_BP_like_config_5J_complete_optimized.yaml,"3-6, S1, S3-5",Learned DendI \n(Hebb),Dend. Target Prop.,red,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Zero
bpLike_WT_hebbdend_eq,20240516_EIANN_2_hidden_mnist_BP_like_config_2L_complete_optimized.yaml, ,bpLike_WT_hebbdend_eq,bpLike_WT_hebbdend_eq,red,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Zero
bpLike_WT_tempcont,20240508_EIANN_2_hidden_mnist_BP_like_config_1J_complete_optimized.yaml, ,bpLike_WT_tempcont,BP-like (temp. cont.),red,Dend EIANN,2,Dend Temp Contrast,LDS,Symmetric ($B=W^T$),Zero
bpLike_WT_localBP,20241113_EIANN_2_hidden_mnist_BP_like_config_5M_complete_optimized.yaml,3,Learned DendI \n(local backprop),Learned (Backprop),black,Dend EIANN,2,Dend Target Prop \n+ Backprop (DendI),LDS,Symmetric ($B=W^T$),Zero
bpLike_WT_localBP_eq,20240628_EIANN_2_hidden_mnist_BP_like_config_3M_complete_optimized.yaml, ,bpLike_WT_localBP_eq,bpLike_WT_localBP_eq,black,Dend EIANN,2,Backprop/Dend Target Prop,LDS,Symmetric ($B=W^T$),Zero
bpLike_WT_fixedDend,20241113_EIANN_2_hidden_mnist_BP_like_config_5K_complete_optimized.yaml,3,Fixed DendI \n(random),Fixed random,gray,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Zero
bpLike_WT_fixedDend_eq,20240508_EIANN_2_hidden_mnist_BP_like_config_2K_complete_optimized.yaml, ,bpLike_WT_fixedDend_eq,bpLike_WT_fixedDend_eq,gray,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Zero
bpLike_fixedTD_hebbdend,20241114_EIANN_2_hidden_mnist_BP_like_config_5J_fixed_TD_complete_optimized.yaml,6,"LDS, \nfixed top-down",Fixed random B (LDS),gray,Dend EIANN,2,Dend Target Prop,LDS,Fixed random,Zero
bpLike_TCWN_hebbdend,20241120_EIANN_2_hidden_mnist_BP_like_config_5J_learn_TD_HTCWN_2_complete_optimized.yaml,6,"LDS, \nlearned top-down",Learned B: TCH (LDS),green,Dend EIANN,2,Dend Target Prop,LDS,TCH + Weight Norm.,Zero
bpLike_fixedTD_hebbdend_eq,20240830_EIANN_2_hidden_mnist_BP_like_config_2L_fixed_TD_complete_optimized.yaml, ,bpLike_fixedTD_hebbdend_eq,bpLike_fixedTD_hebbdend_eq,lightgray,Dend EIANN,2,Dend Target Prop,LDS,Fixed random,Zero
bpLike_hebbTD_hebbdend,20241009_EIANN_2_hidden_mnist_BP_like_config_5J_learn_TD_HWN_1_complete_optimized.yaml, ,bpLike_hebbTD_hebbdend,bpLike_hebbTD_hebbdend,blue,Dend EIANN,2,Dend Target Prop,LDS,Hebb + Weight Norm.,Zero
bpLike_hebbTD_hebbdend_eq,20240830_EIANN_2_hidden_mnist_BP_like_config_2L_learn_TD_HWN_3_complete_optimized.yaml, ,bpLike_hebbTD_hebbdend_eq,bpLike_hebbTD_hebbdend_eq,magenta,Dend EIANN,2,Dend Target Prop,LDS,Hebb + Weight Norm.,Zero
HebbWN_topsup,20241105_EIANN_2_hidden_mnist_Top_Layer_Supervised_Hebb_WeightNorm_config_7_complete_optimized.yaml,"2, S1-3",Hebbian,Hebb (EIANN),green,EIANN,2,Unsupervised \n(no propagation),Hebb \n+ Weight Norm.,Symmetric ($B=W^T$),Zero
Supervised_HebbWN_WT_hebbdend,20240714_EIANN_2_hidden_mnist_Supervised_Hebb_WeightNorm_config_4_complete_optimized.yaml, ,Supervised Hebb,Supervised_HebbWN_WT_hebbdend,olive,Dend EIANN,2,Dend Target Prop,Hebb \n+ Weight Norm.,Symmetric ($B=W^T$),Zero
SupHebbTempCont_WT_hebbdend,20241125_EIANN_2_hidden_mnist_Hebb_Temp_Contrast_config_2_complete_optimized.yaml,"5, S4-5",Temporally \nContrastive Hebb,TCH,mediumaquamarine,Dend EIANN,2,Dend Target Prop,TCH,Symmetric ($B=W^T$),Zero
Supervised_HebbWN_learned_somaI,20240919_EIANN_2_hidden_mnist_Supervised_Hebb_WeightNorm_learn_somaI_config_4_complete_optimized.yaml, ,Supervised HebbWN learned somaI,Supervised HebbWN learned somaI,lime,Dend EIANN,2,Dend Target Prop,Hebb \n+ Weight Norm.,Symmetric ($B=W^T$),Zero
Supervised_BCM_WT_hebbdend,20240723_EIANN_2_hidden_mnist_Supervised_BCM_config_4_complete_optimized.yaml,"5, S4-5",BCM,BCM,mediumpurple,Dend EIANN,2,Dend Target Prop,BCM,Symmetric ($B=W^T$),Zero
BTSP_WT_hebbdend,20241212_EIANN_2_hidden_mnist_BTSP_config_5L_complete_optimized.yaml,"5,6",BTSP,Symmetric B=W (BTSP),orange,Dend EIANN,2,Dend Target Prop,BTSP,Symmetric ($B=W^T$),Zero
BTSP_fixedTD_hebbdend,20241216_EIANN_2_hidden_mnist_BTSP_config_5L_fixed_TD_complete_optimized.yaml,6,"BTSP, \nfixed top-down",Fixed random B (BTSP),gray,Dend EIANN,2,Dend Target Prop,BTSP,Fixed random,Zero
BTSP_TCWN_hebbdend,20241216_EIANN_2_hidden_mnist_BTSP_config_5L_learn_TD_HTCWN_3_complete_optimized.yaml,6,"BTSP, \nlearned top-down",Learned B: TCH (BTSP),green,Dend EIANN,2,Dend Target Prop,BTSP,TCH + Weight Norm.,Zero
vanBP_0_hidden_learned_bias_spiral,20250108_EIANN_0_hidden_spiral_van_bp_relu_learned_bias_config_complete_optimized.yaml, ,Feedforward ANN \n(no hidden),Vanilla Backprop 0-Hidden (Learned Bias),black,ANN,0,Backprop,Gradient Descent,Symmetric ($B=W^T$),Learned
vanBP_2_hidden_learned_bias_spiral,20250108_EIANN_2_hidden_spiral_van_bp_relu_learned_bias_config_complete_optimized.yaml,4,Feedforward ANN \n(learned bias),FF Backprop (learned bias),black,ANN,2,Backprop,Gradient Descent,Symmetric ($B=W^T$),Learned
vanBP_2_hidden_zero_bias_spiral,20250108_EIANN_2_hidden_spiral_van_bp_relu_zero_bias_config_complete_optimized.yaml,4,Feedforward ANN \n(no bias),FF Backprop no bias,gray,ANN,2,Backprop,Gradient Descent,Symmetric ($B=W^T$),Zero
